,Movie,Date,Rating,Year,Director,Writer,Cast
12,AD ASTRA,18/01/2020,7,2019,James Gray,"James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland, Kimberly Elise, Loren Dean, Donnie Keshawarz, Sean Blakemore, Bobby Nish, LisaGay Hamilton, John Finn, John Ortiz, Freda Foh Shen, Kayla Adams, Ravi Kapoor"
13,GREEN BOOK,19/01/2020,7,2018,Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie","Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov, Mike Hatton, P.J. Byrne, Joe Cortese, Maggie Nixon, Von Lewis, Jon Sortland, Don Stark, Anthony Mangano, Paul Sloan, Quinn Duffy"
14,SHAPE OF WATER,24/01/2020,7,2017,Guillermo del Toro,"Guillermo del Toro, Vanessa Taylor","Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer, Michael Stuhlbarg, Doug Jones, David Hewlett, Nick Searcy, Stewart Arnott, Nigel Bennett, Lauren Lee Smith, Martin Roach, Allegra Fulton, John Kapelos, Morgan Kelly"
15,ANNA,27/01/2020,6,2019,Luc Besson,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Lera Abova, Alexander Petrov, Nikita Pavlenko, Anna Krippa, Aleksey Maslodudov, Eric Godon, Ivan Franek, Jean-Baptiste Puech, Adrian Can, Alison Wheeler, Andrew Howard"
16,YESTERDAY,31/01/2020,8,2019,Danny Boyle,"Richard Curtis, Jack Barth","Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell, Meera Syal, Harry Michell, Vincent Franklin, Joel Fry, Michael Kiwanuka, Karma Sood, Gus Brown, Sanjeev Bhaskar, Karl Theobald, Alexander Arnold, Dominic Coleman"
17,WALK THE LINE,01/02/2020,7,2005,James Mangold,"Johnny Cash, Johnny Cash","Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick, Dallas Roberts, Dan John Miller, Larry Bagby, Shelby Lynne, Tyler Hilton, Waylon Payne, Shooter Jennings, Sandra Ellis Lafferty, Dan Beene, Clay Steakley, Johnathan Rice"
18,Sherlock holmes,07/02/2020,8,2009,Guy Ritchie,"Michael Robert Johnson, Anthony Peckham","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, Hans Matheson, James Fox, William Hope, Clive Russell, Oran Gurel, David Garrick"
19,World war Z,08/02/2020,5,2013,Marc Forster,"Matthew Michael Carnahan, Drew Goddard","Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale, Ludi Boeken, Matthew Fox, Fana Mokoena, David Morse, Elyes Gabel, Peter Capaldi, Pierfrancesco Favino, Ruth Negga, Moritz Bleibtreu, Sterling Jerins, Abigail Hargrove"
20,1917,16/02/2020,8,2019,Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth, Pip Carter, Andy Apollo, Paul Tinto, Josef Davies, Billy Postlethwaite, Gabriel Akuwudike, Andrew Scott, Spike Leighton, Robert Maaser, Gerran Howell, Adam Hugill"
21,TRUE GRIT,23/02/2020,7,2010,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin, Barry Pepper, Dakin Matthews, Jarlath Conroy, Paul Rae, Domhnall Gleeson, Elizabeth Marvel, Roy Lee Jones, Ed Corbin, Leon Russom, Bruce Green, Candyce Hinkle"
22,PARASITE,20/02/2020,8,2019,Bong Joon Ho,"Bong Joon Ho, Bong Joon Ho","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Woo-sik Choi, So-dam Park, Lee Jeong-eun, Hye-jin Jang, Myeong-hoon Park, Ji-so Jung, Hyun-jun Jung, Keun-rok Park, Yi-Seo Jung, Jae-myeong Jo, Ik-han Jung, Kyu-baek Kim"
23,SPOTLIGHT,01/03/2020,7,2015,Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery, Brian d___Arcy James, Stanley Tucci, Elena Wohl, Gene Amoroso, Doug Murray, Sharon McFarlane, Jamey Sheridan, Neal Huff, Billy Crudup, Robert B. Kennedy"
24,THE REVOLUTIONARY ROAD,08/03/2020,6,2009,Sam Mendes,"Justin Haythe, Richard Yates","Kate Winslet, Leonardo DiCaprio, Christopher Fitzgerald, Jonathan Roumie, Neal Bledsoe, Marin Ireland, Samantha Soule, Heidi Armbruster, Sam Rosen, Maria Rusolo, Gena Oppenheim, Kathryn Dunn, Joe Komara, Allison Twyford, David Harbour"
25,DARK WATERS,09/03/2020,8,2019,Todd Haynes,"Nathaniel Rich, Mario Correa","Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Louisa Krause, Kevin Crowley, Bruce Cromer, Denise Dal Vera, Richard Hagerman, Abi Van Andel, John Newberg"
26,A Friendly Tale,13/03/2020,8,2020,Daniel Cohen,"Daniel Cohen, Olivier Dazat","Bérénice Bejo, Vincent Cassel, François Damiens, Florence Foresti, Daniel Cohen, Keren-Ann Zajtelbach, Owen Tannou, Romain Cottard, Alice Carel, Bruno Gouery, Constance Labbé, François-Eric Gendron, Angelina Wismes, Anne-Gaëlle Jourdain, Laurent Mentec"
27,THE DARK TOWER,20/03/2020,6,2017,Nikolaj Arcel,"Akiva Goldsman, Jeff Pinkner","Matthew McConaughey, Idris Elba, Tom Taylor, Dennis Haysbert, Ben Gavin, Claudia Kim, Jackie Earle Haley, Fran Kranz, Abbey Lee, Katheryn Winnick, Nicholas Pauling, Michael Barbieri, José Zúñiga, Nicholas Hamilton, Inge Beckmann"
28,THE INVISIBLE MAN,21/03/2020,7,2020,Leigh Whannell,"Leigh Whannell, Leigh Whannell","Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge, Storm Reid, Michael Dorman, Benedict Hardie, Renee Lim, Brian Meegan, Nick Kici, Vivienne Greer, Nicholas Hope, Cleave Williams, Cardwell Lynch, Sam Smith"
29,KING___S SPEECH,26/03/2020,8,2010,Tom Hooper,David Seidler,"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal, Richard Dixon, Paul Trussell, Adrian Scarborough, Andrew Havill, Charles Armstrong, Roger Hammond, Geoffrey Rush, Calum Gittins, Jennifer Ehle, Dominic Applewhite, Ben Wimsett"
30,BIG EYES,28/03/2020,7,2014,Tim Burton,"Scott Alexander, Larry Karaszewski","Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter, Jason Schwartzman, Terence Stamp, Jon Polito, Delaney Raye, Madeleine Arthur, James Saito, Farryn VanHumbeck, Guido Furlani, Elisabetta Fantone, Emily Maddison, Brent Chapman"
31,Sea Inside,27/03/2020,7,2004,Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil","Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera, Celso Bugallo, Clara Segura, Joan Dalmau, Alberto Jiménez, Tamar Novas, Francesc Garrido, Josep Maria Pou, Alberto Amarilla, Andrea Occhipinti, Federico Pérez Rey, Nicolás Fernández Luna"
32,The Rainmaker,30/03/2020,7,1996,Francis Ford Coppola,"John Grisham, Francis Ford Coppola","Matt Damon, Danny DeVito, Claire Danes, Jon Voight, Mary Kay Place, Dean Stockwell, Teresa Wright, Virginia Madsen, Mickey Rourke, Andrew Shue, Red West, Johnny Whitworth, Wayne Emmons, Adrian Roberts, Roy Scheider"
33,Capote,29/03/2020,7,2006,Douglas McGrath,"Douglas McGrath, George Plimpton","Sigourney Weaver, Toby Jones, Gwyneth Paltrow, Sandra Bullock, Isabella Rossellini, Peter Bogdanovich, Rey Arteaga, Jeff Daniels, Daniel Craig, Justin Sherburn, Andrew Halbreich, Juliet Stevenson, Michael Panes, Hope Davis, Frank G. Curcio"
34,The Platform,03/04/2020,7,2019,Galder Gaztelu-Urrutia,"David Desola, Pedro Rivero","Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale, Alexandra Masangkay, Zihara Llana, Mario Pardo, Algis Arlauskas, Txubio Fernández de Jáuregui, Eric Goode, Óscar Oliver, Chema Trujillo, Miriam Martín, Gorka Zufiaurre, Miriam K. Martxante"
35,Miss Americana,05/04/2020,7,2020,Lana Wilson,"Stars:Taylor Swift, Andrea Swift, Scott Swift","Taylor Swift, Andrea Swift, Scott Swift, Joel Little, Tree Paine, Jack Antonoff, Kamilah Marshall, Melanie Nyema, Max Martin, Dave Meyers, Paul Sidoti, Brendon Urie, Bobby Berk, Karamo Brown, Tan France"
36,The Hunger Games: Catching Fire,09/04/2020,7,2013,Francis Lawrence,"Simon Beaufoy, Michael Arndt","Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair, Sandra Ellis Lafferty, Woody Harrelson, Josh Hutcherson, Paula Malcomson, Willow Shields, Donald Sutherland, Elizabeth Banks, Bruce Bundy, Nelson Ascencio, Lenny Kravitz, Stanley Tucci"
37,A Dog’s purpose,10/04/2020,7,2017,Lasse Hallström,"W. Bruce Cameron, Cathryn Michon","Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar, K.J. Apa, Juliet Rylance, Luke Kirby, Gabrielle Rose, Michael Bofshever, Britt Robertson, Logan Miller, Kirby Howell-Baptiste, Pooch Hall, John Ortiz, Nicole LaPlaca"
38,La La Land,11/04/2020,9,2016,Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, Amiee Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Rosemarie DeWitt, J.K. Simmons, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer"
39,Marriage Story,12/04/2020,8,2019,Noah Baumbach,Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson, Wallace Shawn, Matthew Maher, Eric Berryman, Mickey Sumner, David Turner, Gideon Glick, Jasmine Cephas Jones, Motell Gyn Foster, Raymond J. Lee, Mary Wiseman, Pete Simpson"
40,Sicario,13/04/2020,7,2015,Denis Villeneuve,Taylor Sheridan,"Emily Blunt, Benicio Del Toro, Josh Brolin, Victor Garber, Jon Bernthal, Daniel Kaluuya, Jeffrey Donovan, Raoul Max Trujillo, Julio Cesar Cedillo, Hank Rogerson, Bernardo Saracino, Maximiliano Hernández, Kevin Wiggins, Edgar Arreola, Kim Larrichio"
41,Eternal Sunshine of the Spotless Mind,15/04/2020,7,2004,Michel Gondry,"Charlie Kaufman, Michel Gondry","Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood, Thomas Jay Ryan, Mark Ruffalo, Jane Adams, David Cross, Kirsten Dunst, Tom Wilkinson, Ryan Whitney, Debbon Ayer, Amir Ali Said, Brian Price, Paulie Litt"
42,Uncut Gems,21/04/2020,6,2019,"Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie","Mesfin Lamengo, Sun Zhi Hua-Hilton, Liang Wei-Hui-Duncan, Sunny Wu Jin Zahao, Deneke Muhugeta, Habtunu Africho, Warren Finkelstein, Adam Sandler, Keith William Richards, Tommy Kominik, LaKeith Stanfield, Maksud Agadjani, Ca$h Out, Andrea Linsky, Roman Persits"
43,The Hunger Games: Mockingjay Part I,24/04/2020,5,2014,Francis Lawrence,"Peter Craig, Danny Strong","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Donald Sutherland, Philip Seymour Hoffman, Julianne Moore, Willow Shields, Sam Claflin, Elizabeth Banks, Mahershala Ali, Jena Malone, Jeffrey Wright, Paula Malcomson, Stanley Tucci"
44,Nice Guys,23/04/2020,7,2016,Shane Black,"Shane Black, Anthony Bagarozzi","Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Yaya DaCosta, Keith David, Beau Knapp, Lois Smith, Murielle Telio, Gil Gerard, Daisy Tahan, Kim Basinger, Jack Kilmer, Lance Valentine Butler"
45,Secret in their eyes,25/04/2020,7,2015,Billy Ray,"Billy Ray, Juan José Campanella","Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris, Alfred Molina, Joe Cole, Michael Kelly, Zoe Graham, Patrick Davis Alarcón, Eileen Fogarty, Lyndon Smith, Kim Yarbrough, Mark Famiglietti, Amir Malaklou, Niko Nicotera"
46,Rocknrolla,28/04/2020,8,2008,Guy Ritchie,Guy Ritchie,"Gerard Butler, Tom Wilkinson, Thandiwe Newton, Mark Strong, Idris Elba, Tom Hardy, Karel Roden, Toby Kebbell, Jeremy Piven, Ludacris, Jimi Mistry, Matt King, Geoff Bell, Dragan Micanovic, Michael Ryan"
47,Blackkklansman,02/05/2020,6,2018,Spike Lee,"Charlie Wachtel, David Rabinowitz","Alec Baldwin, John David Washington, Isiah Whitlock Jr., Robert John Burke, Brian Tarantina, Arthur J. Nascarella, Ken Garito, Frederick Weller, Adam Driver, Michael Buscemi, Laura Harrier, Damaris Lewis, Ato Blankson-Wood, Corey Hawkins, Dared Wright"
48,Molly’s Game,03/05/2020,9,2017,Aaron Sorkin,"Aaron Sorkin, Molly Bloom","Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera, Jeremy Strong, Chris O___Dowd, J.C. MacKenzie, Brian d___Arcy James, Bill Camp, Graham Greene, Justin Kirk, Angela Gots, Natalie Krill, Stephanie Herfield, Madison McKinley"
49,The Big Sick,08/05/2020,7,2017,Michael Showalter,"Emily V. Gordon, Kumail Nanjiani","Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Anupam Kher, Zenobia Shroff, Adeel Akhtar, Bo Burnham, Aidy Bryant, Kurt Braunohler, Vella Lovell, Myra Lucretia Taylor, Jeremy Shamos, David Alan Grier, Ed Herbstman"
50,The Hunger Games: Mockingjay Part II,09/05/2020,5,2015,Francis Lawrence,"Peter Craig, Danny Strong","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Donald Sutherland, Philip Seymour Hoffman, Julianne Moore, Willow Shields, Sam Claflin, Elizabeth Banks, Mahershala Ali, Jena Malone, Jeffrey Wright, Paula Malcomson, Stanley Tucci"
51,Blood Diamond,15/05/2020,8,2006,Edward Zwick,"Charles Leavitt, Charles Leavitt","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, Arnold Vosloo, Antony Coleman, Benu Mabhena, Anointing Lukola, David Harewood, Basil Wallace, Jimi Mistry, Michael Sheen, Marius Weyers, Stephen Collins, Ntare Guma Mbaho Mwine"
52,Just Mercy,16/05/2020,6,2019,Destin Daniel Cretton,"Destin Daniel Cretton, Andrew Lanham","Jamie Foxx, Charlie Pye Jr., Michael Harding, Christopher Wolfe, Michael B. Jordan, J. Alphonse Nicholson, Adam Boyer, Jacinte Blankenship, Bryan G. Stevenson, Brad Sanders, Charmin Lee, Brie Larson, Sebastian Eugene Hansen, John Lacy, Dominic Bogart"
53,The Two Popes,22/05/2020,8,2019,Fernando Meirelles,Anthony McCarten,"Anthony Hopkins, Jonathan Pryce, Juan Minujín, Luis Gnecco, Cristina Banegas, María Ucedo, Renato Scarpa, Sidney Cole, Achille Brugnini, Federico Torre, Germán de Silva, Lisandro Fiks, Libero De Rienzo, Willie Jonah, Sofia Cessak"
54,State of play,24/05/2020,7,2009,Kevin Macdonald,"Matthew Michael Carnahan, Tony Gilroy","Russell Crowe, Ben Affleck, Rachel McAdams, Helen Mirren, Robin Wright, Jason Bateman, Jeff Daniels, Michael Berresse, Harry Lennix, Josh Mostel, Michael Weston, Barry Shabaka Henley, Viola Davis, David Harbour, Sarah Lord"
55,Forgotten,29/05/2020,8,2017,Hang-jun Jang(as Hang-jun Zhang),Hang-jun Jang,"Kang Ha-Neul, Yeon Je Hyung, Mu-Yeol Kim, Na-ra Lee, Seong-kun Mun, Myung-Ryul Nam, Lee Soon-won, Jung Taek-Hyun, Na Young-Hee"
56,The other guys,30/05/2020,6,2010,Adam McKay,"Adam McKay, Chris Henchy","Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes, Michael Keaton, Larnell Stovall, Jalil Jay Lynch, Roy T. Anderson, Ray Stevenson, Samuel L. Jackson, Andrew Secunda, Sara Chase, Dwayne Johnson, David Gideon, Joshua Church"
57,Extraction,31/05/2020,6,2020,Sam Hargrave,"Joe Russo, Ande Parks","Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal, Shivam Vichare, Piyush Khati, Sara Rumao, Randeep Hooda, Aarti Kulkarni, Umakant Patil, Praveen Indu, Swapnil Kokam, Pankaj Tripathi, Neha Mahajan, Pallas Prajapati"
58,The invisible guest,03/06/2020,8,2016,Oriol Paulo,Oriol Paulo,"Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie, Francesc Orella, Paco Tous, David Selvas, Iñigo Gastesi, San Yélamos, Manel Dueso, Blanca Martínez, Pere Brasó, Jordi Brunet, Bobby González, Martina Hurtado"
59,Primal fear,04/06/2020,8,1996,Gregory Hoblit,"William Diehl, Steve Shagan","Richard Gere, Laura Linney, John Mahoney, Alfre Woodard, Frances McDormand, Edward Norton, Terry O___Quinn, Andre Braugher, Steven Bauer, Joe Spano, Tony Plana, Stanley Anderson, Maura Tierney, Jon Seda, Reg Rogers"
60,Jojo rabbit,07/06/2020,7,2019,Taika Waititi,"Christine Leunens, Taika Waititi","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Sam Rockwell, Rebel Wilson, Alfie Allen, Stephen Merchant, Archie Yates, Luke Brandon Field, Sam Haygarth, Stanislav Callas, Joe Weintraub, Brian Caspe, Gabriel Andrews"
61,Hunt for the wilderpeople,08/06/2020,8,2016,Taika Waititi,"Taika Waititi, Barry Crump","Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby, Troy Kingi, Taika Waititi, Hamish Parkinson, Stu Giles, Lloyd Scott"
62,Paterson,08/06/2020,5,2016,Jim Jarmusch,"Jim Jarmusch, William Carlos Williams","Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji, Dominic Liriano, Jaden Michael, Barry Shabaka Henley, Trev Parham, Troy T. Parham, Brian McCarthy, Frank Harts, Luis Da Silva Jr., Chasten Harmon, William Jackson Harper, Method Man"
63,Trumbo,12/06/2020,7,2015,Jay Roach,"John McNamara, Bruce Cook","Bryan Cranston, Michael Stuhlbarg, David Maldonado, John Getz, Diane Lane, Laura Flannery, Helen Mirren, David James Elliott, Toby Nichols, Joseph S. Martino, Madison Wolfe, Jason Bayle, James DuMont, Alan Tudyk, Louis C.K."
64,Dredd,14/06/2020,5,2012,Pete Travis,"John Wagner, Carlos Ezquerra","Karl Urban, Rachel Wood, Andile Mngadi, Porteus Xandau, Jason Cope, Emma Breschi, Olivia Thirlby, Rakie Ayola, Lena Headey, Tamer Burjaq, Warrick Grier, Wood Harris, Shoki Mokgapa, Yohan Chun, Eden Knowles"
65,Mirage,19/06/2020,8,2018,Oriol Paulo,"Oriol Paulo, Lara Sendim","Adriana Ugarte, Chino Darín, Javier Gutiérrez, Álvaro Morte, Nora Navas, Miquel Fernández, Clara Segura, Mima Riera, Aina Clotet, Albert Pérez, Julio Bohigas-Couto, Luna Fulgencio, Marco de Francisco, Ruth Llopis, Joel Illescas"
66,Don’t Breathe,21/06/2020,7,2016,Fede Alvarez,"Fede Alvarez, Rodo Sayagues","Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto, Emma Bercovici, Franciska Töröcsik, Christian Zagia, Katia Bokor, Sergej Onopko, Olivia Gillies, Dayna Clark, Athos, Astor, Nomad"
67,Unknown,25/06/2020,6,2011,Jaume Collet-Serra,"Oliver Butcher, Stephen Cornwell","Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock, Mido Hamada, Clint Dyer, Karl Markovics, Eva Löbau, Helen Wiebensohn"
68,Hush,26/06/2020,6,2016,Mike Flanagan,"Mike Flanagan, Kate Siegel","John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan, Emma Graves"
69,The Town,26/06/2020,7,2010,Ben Affleck,"Peter Craig, Ben Affleck","Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Blake Lively, George Carroll, Owen Burke, Titus Welliver, Pete Postlethwaite, Chris Cooper, Dennis McLaughlin, Corena Chase, Brian Scannell, Kerri Dunbar, Tony V."
70,Prisoners,27/06/2020,7,2013,Denis Villeneuve,Aaron Guzikowski,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano, Dylan Minnette, Zoë Soul, Erin Gerasimovich, Kyla-Drew, Wayne Duvall, Len Cariou, David Dastmalchian, Brad James"
71,The cabin in the woods,03/07/2020,7,2011,Drew Goddard,"Joss Whedon, Drew Goddard","Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams, Richard Jenkins, Bradley Whitford, Brian White, Amy Acker, Tim DeZarn, Tom Lenk, Dan Payne, Jodelle Ferland, Dan Shea, Maya Massar"
72,Unbreakable Kimmy Schmidt,03/07/2020,6,2020,"Robert Carlock, Tina Fey","Stars:Ellie Kemper, Jane Krakowski, Tituss Burgess","Ellie Kemper, Tituss Burgess, Carol Kane, Jane Krakowski, Sara Chase, Sol Miranda"
73,A twelve year night,04/07/2020,8,2018,Álvaro Brechner,"Álvaro Brechner, Mauricio Rosencoff","Antonio de la Torre, Chino Darín, Alfonso Tort, César Troncoso, Soledad Villamil, Sílvia Pérez Cruz, César Bordón, Mirella Pascual, Nidia Telles, Eduardo Recabarren, Sofia Gravina, Bianca Gravina, Ana Baltar Peretz, Ilay Kurelovic, Lisandro Fiks"
74,Heat,10/07/2020,8,1995,Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Amy Brenneman, Ashley Judd, Mykelti Williamson, Wes Studi, Ted Levine, Dennis Haysbert, William Fichtner, Natalie Portman, Tom Noonan"
75,Pain and glory,11/07/2020,7,2019,Pedro Almodóvar,Pedro Almodóvar,"Antonio Banderas, Asier Etxeandia, Leonardo Sbaraglia, Nora Navas, Julieta Serrano, César Vicente, Asier Flores, Penélope Cruz, Cecilia Roth, Susi Sánchez, Raúl Arévalo, Pedro Casablanc, Julián López, Eva Martín, Sara Sierra"
76,Escape room,12/07/2020,7,2019,Adam Robitel,"Bragi F. Schut , Maria Melnik","Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine, Deborah Ann Woll, Nik Dodani, Yorick van Wageningen, Cornelius Geaney Jr., Russell Crous, Bart Fouche, Jessica Sutton, Paul Hampshire, Vere Tindale, Kenneth Fok, Caely-Jo Levy"
77,Long Shot,14/07/2020,6,2019,Jonathan Levine,"Dan Sterling, Liz Hannah","Charlize Theron, Seth Rogen, June Diane Raphael, O___Shea Jackson Jr., Ravi Patel, Bob Odenkirk, Andy Serkis, Randall Park, Tristan D. Lalla, Alexander Skarsgård, Aladeen Tawfeek, Nathan Morris, Wanya Morris, Shawn Stockman, Isla Dowling"
